Date,Temperature,Humidity,Precipitation,WindSpeed,City
2024-01-01,15.5,65,0.0,12.3,London
2024-01-02,16.2,68,2.5,14.1,London
2024-01-03,14.8,72,5.2,11.8,London
2024-01-04,17.1,60,0.0,13.5,London
2024-01-05,18.3,58,0.0,15.2,London
2024-01-06,16.9,64,1.8,12.9,London
2024-01-07,15.7,70,3.4,13.7,London
2024-01-08,19.2,55,0.0,16.4,London
2024-01-09,17.8,62,0.5,14.6,London
2024-01-10,16.4,67,2.1,13.2,London
2024-01-11,20.1,52,0.0,17.8,London
2024-01-12,18.6,59,0.0,15.3,London
2024-01-13,17.2,63,1.2,14.0,London
2024-01-14,19.5,56,0.0,16.7,London
2024-01-15,16.8,66,2.8,13.4,London
2024-01-16,21.3,50,0.0,18.5,London
2024-01-17,18.9,61,0.3,15.9,London
2024-01-18,17.5,65,1.5,14.2,London
2024-01-19,20.7,53,0.0,17.1,London
2024-01-20,19.1,57,0.0,16.0,London
2024-01-21,18.4,60,0.8,15.5,London
2024-01-22,22.0,48,0.0,19.2,London
2024-01-23,19.8,54,0.0,17.3,London
2024-01-24,17.9,62,1.0,14.8,London
2024-01-25,21.5,49,0.0,18.7,London
2024-01-26,20.2,51,0.0,17.6,London
2024-01-27,18.7,58,0.4,15.8,London
2024-01-28,23.1,46,0.0,20.1,London
2024-01-29,20.9,52,0.0,18.3,London
2024-01-30,19.3,56,0.2,16.5,London

